wikipedia_movie_id,freebase_movie_id,movie_name,release_year,movie_release_date,box_office_revenue,adjusted_box_office
975900,/m/03vyhn,Ghosts of Mars,2001,2001-08-24,14010832.0,23233946.976829447
3196793,/m/08yl5d,Getting Away with Murder: The JonBenét Ramsey Mystery,2000,2000-02-16,0.0,0.0
156558,/m/014k4y,Baby Boy,2001,2001-06-27,29381649.0,48723136.13908253
11448183,/m/02rc_h4,Bindiya Chamkegi,1984,1984-01-20,0.0,0.0
29772142,/m/0fq260_,Karayilekku Oru Kadal Dooram,2010,2010-12-31,0.0,0.0
9548445,/m/02pjlrp,Archie: To Riverdale and Back Again,1990,1990-05-06,0.0,0.0
21449578,/m/05f6kpj,Hamsun,1996,1996-04-19,0.0,0.0
12053509,/m/02vn81r,Loverboy,1989,1989-04-28,3960327.0,9468548.60602496
29198000,/m/0dll97s,Chandra Mukhi,1993,1993-10-22,0.0,0.0
32104837,/m/0g4zl4c,It Came Upon the Midnight Clear,1984,1984-12-15,0.0,0.0
1254263,/m/04mhwd,Shivers,1975,1975-10-10,1000000.0,5722546.505838373
5894429,/m/0fc8w8,Closing the Ring,2007,2007-09-14,0.0,0.0
30246289,/m/04mnqv6,33 Scenes from Life,2008,2008-08-10,0.0,0.0
24196090,/m/07k8x7p,The World of Geisha,1973,1973-11-03,0.0,0.0
28028248,/m/0cm89jx,The House That Drips Blood on Alex,2010,2010-10-14,0.0,0.0
8669450,/m/027d9tv,One Six Right,2005,2005-11-25,0.0,0.0
17780234,/m/0479c20,Banana Club,1996,1996-04-13,0.0,0.0
33059372,/m/0h54gth,ChromeSkull: Laid to Rest 2,2011,2011-09-20,0.0,0.0
2659373,/m/07vz8r,The Iron Maiden,1963,1963-06-07,0.0,0.0
3873713,/m/0b4f1s,Lee Dae-ro Can't Die,2005,2005-08-18,4736013.0,7270016.033872657
9380065,/m/0286kkz,Alien Express,2005,2005-08-13,0.0,0.0
28937087,/m/0dgrk23,Children of Glory,2006,2006-10-23,0.0,0.0
24282217,/m/07sb8_t,The Naked Kitchen,2009,2009-02-05,638181.0,897987.4503478402
7767613,/m/026ccts,Star!,1968,1968-07-18,4000000.0,33983266.65984627
164388,/m/015wmt,The Great Santini,1979,1979-10-26,4702575.0,20157448.909024023
7460227,/m/0kv80y,The Bridge,2006,2006-09-01,0.0,0.0
1305819,/m/04rjwf,C.H.U.D.,1984,1984-08-31,4650000.0,13695897.135480188
18066159,/m/047q7xf,The Sands of Kurobe,1968,1968-03-01,0.0,0.0
34454683,/m/0h_92lt,"Agent 3S3, Massacre in the Sun",1966,1966-05-20,0.0,0.0
26137128,/m/0b6dn1z,The Bone Snatcher,2003,2003-12-23,0.0,0.0
34470083,/m/0h_9kln,Rollo and the Spirit of the Woods,2001,2001-12-21,0.0,0.0
16304395,/m/03wggk7,Enemy Territory,1987,1987-05-22,197791.0,515912.06178625056
36151270,/m/0k0hkgm,Agneekaal,1990,1990-10-19,0.0,0.0
11692389,/m/02rp4qv,The Snow Queen,2005,2005-12-24,0.0,0.0
3033993,/m/08m1s2,Becoming Jane,2007,2007-03-02,37311672.0,54622012.17579155
1588008,/m/05dpjl,Heidi Fleiss: Hollywood Madam,1995,1995-12-27,0.0,0.0
5696825,/m/0d_ng1,The Dark Half,1993,1993-04-23,10611160.0,21501629.007179737
103021,/m/0p_sc,Midnight Express,1978,1978-08-31,35000000.0,164729060.47724774
27365295,/m/0bb_l75,Hell Boats,1970,1970-03-20,0.0,0.0
21271533,/m/05f9k7r,Bleeder,1999,1999-08-06,0.0,0.0
7696753,/m/0kvfd1,Lord of the Flies,1963,1963-08-13,0.0,0.0
4459059,/m/0c3lr0,Trial and Error,1997,1997-05-30,14598571.0,26565506.945796046
6471697,/m/0g6kwp,Ajooba,1991,1991-04-12,0.0,0.0
413207,/m/025cm9,Taxi,1998,1998-04-08,44500000.0,79157512.61019908
36542079,/m/0cgs9r4,Peter schießt den Vogel ab,1959,1959-05-14,0.0,0.0
3681139,/m/09v460,Necessary Roughness,1991,1991-09-27,26255594.0,56991413.32412739
2608958,/m/07rf_1,Nothing to Lose,1997,1997-07-18,44480039.0,80941811.70223983
2546429,/m/07m7j8,Friday the 13th: The Final Chapter,1984,1984-04-13,32980880.0,97140374.17583138
20553214,/m/051yg_8,Mon Mane Na,2008,2008-12-05,0.0,0.0
12490207,/m/02w8rhv,Over the Rainbow,2002,2002-05-17,2549834.0,4129248.497734098
2574970,/m/07p15p,Big Wars,1993,1993-09-25,0.0,0.0
6170621,/m/0ft_c9,Herod's Law,1999,1999-11-09,52000.0,90596.14732703898
20117139,/m/04ybcks,Susanne Brink's Arirang,1991,1991-09-21,0.0,0.0
32400923,/m/0gysbv4,My Little Pony: Twinkle Wish Adventure,2009,2009-10-13,0.0,0.0
15221045,/m/03hmbm9,Seoul Jesus,1986,1986-03-27,0.0,0.0
7235116,/m/0kv17w,Someone to Watch Over Me,1987,1987-10-09,10278549.0,26810256.31480201
5254729,/m/0db2z1,I Could Never Be Your Woman,2007,2007-05-11,9576495.0,14019404.61128107
22695715,/m/05zp8vw,The Incident,1978,1978-06-03,0.0,0.0
2051395,/m/06hp9q,The Hallelujah Trail,1965,1965-06-23,4000000.0,37709998.91511539
19168185,/m/04ldc1b,9 Dead Gay Guys,2003,2003-09-19,26377.0,42125.644267191834
20648586,/m/051yy2f,Stanley Kubrick's Boxes,2008,2008-07-15,0.0,0.0
9560806,/m/02pk0wv,Sharpe's Siege,1996,1996-05-08,0.0,0.0
27504492,/m/0gkss5y,Cyrano Agency,2010,2010-09-16,17917697.0,24962450.19959365
22697314,/m/05zkfkf,Inherit the Wind,1999,1999-05-29,0.0,0.0
